tick,timestamp,open,high,low,close,volume
47,"2026-06-14T01:44:00Z","64596.78000000","64596.79000000","64564.99000000","64564.99000000","109.35393000"
48,"2026-06-14T01:45:00Z","64564.99000000","64596.00000000","64561.24000000","64591.99000000","41.33286000"
49,"2026-06-14T01:46:00Z","64591.99000000","64610.00000000","64591.99000000","64603.30000000","3.99269000"
50,"2026-06-14T01:47:00Z","64603.29000000","64619.95000000","64603.29000000","64619.95000000","0.43955000"
51,"2026-06-14T01:48:00Z","64619.95000000","64632.01000000","64619.94000000","64632.00000000","1.62649000"
52,"2026-06-14T01:49:00Z","64632.01000000","64636.00000000","64625.86000000","64634.52000000","1.69304000"
53,"2026-06-14T01:50:00Z","64634.52000000","64635.98000000","64626.26000000","64626.27000000","4.79079000"
54,"2026-06-14T01:51:00Z","64626.27000000","64636.00000000","64625.86000000","64625.87000000","4.60671000"
55,"2026-06-14T01:52:00Z","64625.87000000","64635.99000000","64623.42000000","64635.99000000","1.52772000"
56,"2026-06-14T01:53:00Z","64635.99000000","64635.99000000","64626.27000000","64628.94000000","2.44431000"
57,"2026-06-14T01:54:00Z","64628.94000000","64628.94000000","64621.55000000","64626.84000000","2.53976000"
58,"2026-06-14T01:55:00Z","64626.83000000","64626.84000000","64621.55000000","64621.55000000","1.93016000"
59,"2026-06-14T01:56:00Z","64621.56000000","64621.56000000","64600.00000000","64600.01000000","2.35987000"
60,"2026-06-14T01:57:00Z","64600.00000000","64600.01000000","64588.00000000","64588.00000000","2.62507000"
61,"2026-06-14T01:58:00Z","64588.01000000","64588.01000000","64584.00000000","64584.00000000","1.00662000"
62,"2026-06-14T01:59:00Z","64584.01000000","64595.92000000","64562.99000000","64563.00000000","88.16562000"
63,"2026-06-14T02:00:00Z","64563.00000000","64586.84000000","64562.99000000","64568.01000000","105.78226000"
64,"2026-06-14T02:01:00Z","64568.01000000","64572.21000000","64566.89000000","64566.89000000","1.80946000"
65,"2026-06-14T02:02:00Z","64566.89000000","64579.67000000","64566.89000000","64579.67000000","0.67852000"
66,"2026-06-14T02:03:00Z","64579.68000000","64592.00000000","64579.68000000","64591.99000000","0.93443000"
67,"2026-06-14T02:04:00Z","64592.00000000","64596.00000000","64592.00000000","64596.00000000","0.86349000"
68,"2026-06-14T02:05:00Z","64596.00000000","64600.16000000","64595.99000000","64600.16000000","0.31910000"
69,"2026-06-14T02:06:00Z","64600.16000000","64610.89000000","64600.16000000","64610.88000000","0.72780000"
70,"2026-06-14T02:07:00Z","64610.89000000","64614.00000000","64601.65000000","64607.47000000","0.69181000"
71,"2026-06-14T02:08:00Z","64607.46000000","64615.44000000","64607.46000000","64615.43000000","0.89585000"
72,"2026-06-14T02:09:00Z","64615.44000000","64627.40000000","64592.01000000","64592.01000000","9.10734000"
73,"2026-06-14T02:10:00Z","64592.02000000","64594.61000000","64592.01000000","64594.60000000","2.79221000"
74,"2026-06-14T02:11:00Z","64594.60000000","64614.66000000","64594.60000000","64614.66000000","1.26461000"
75,"2026-06-14T02:12:00Z","64614.66000000","64628.00000000","64614.66000000","64620.01000000","3.49615000"
76,"2026-06-14T02:13:00Z","64620.01000000","64634.00000000","64620.01000000","64629.31000000","1.47970000"
77,"2026-06-14T02:14:00Z","64629.31000000","64629.32000000","64621.37000000","64621.37000000","2.20434000"
78,"2026-06-14T02:15:00Z","64621.38000000","64621.38000000","64616.00000000","64616.00000000","0.20532000"
79,"2026-06-14T02:16:00Z","64616.01000000","64616.01000000","64616.00000000","64616.00000000","1.32937000"
80,"2026-06-14T02:17:00Z","64616.01000000","64616.01000000","64614.18000000","64614.18000000","0.97507000"
81,"2026-06-14T02:18:00Z","64614.19000000","64614.19000000","64614.18000000","64614.18000000","0.23077000"
82,"2026-06-14T02:19:00Z","64614.19000000","64635.99000000","64614.18000000","64635.99000000","3.71662000"
83,"2026-06-14T02:20:00Z","64636.00000000","64636.00000000","64589.82000000","64589.84000000","8.72689000"
84,"2026-06-14T02:21:00Z","64589.83000000","64589.84000000","64576.90000000","64589.35000000","2.15607000"
85,"2026-06-14T02:22:00Z","64589.35000000","64590.00000000","64589.34000000","64589.34000000","0.35681000"
86,"2026-06-14T02:23:00Z","64589.34000000","64589.34000000","64581.03000000","64581.04000000","1.62875000"
87,"2026-06-14T02:24:00Z","64581.03000000","64581.04000000","64568.01000000","64568.02000000","0.93081000"
88,"2026-06-14T02:25:00Z","64568.02000000","64570.01000000","64558.00000000","64558.01000000","2.26684000"
89,"2026-06-14T02:26:00Z","64558.01000000","64558.01000000","64536.23000000","64538.00000000","9.93870000"
90,"2026-06-14T02:27:00Z","64538.01000000","64553.78000000","64538.01000000","64540.57000000","9.32393000"
91,"2026-06-14T02:28:00Z","64540.58000000","64540.58000000","64520.41000000","64520.42000000","3.61948000"
92,"2026-06-14T02:29:00Z","64520.42000000","64540.00000000","64520.42000000","64539.99000000","0.57467000"
93,"2026-06-14T02:30:00Z","64540.00000000","64540.00000000","64539.99000000","64539.99000000","1.14248000"
94,"2026-06-14T02:31:00Z","64540.00000000","64550.00000000","64535.99000000","64535.99000000","3.79796000"
95,"2026-06-14T02:32:00Z","64535.99000000","64547.14000000","64535.99000000","64547.14000000","1.48199000"
96,"2026-06-14T02:33:00Z","64547.14000000","64554.00000000","64543.61000000","64543.62000000","2.95676000"
97,"2026-06-14T02:34:00Z","64543.62000000","64552.85000000","64543.61000000","64552.84000000","1.17026000"
98,"2026-06-14T02:35:00Z","64552.85000000","64552.85000000","64534.00000000","64551.67000000","3.67298000"
99,"2026-06-14T02:36:00Z","64551.68000000","64551.71000000","64537.96000000","64541.99000000","13.58691000"
100,"2026-06-14T02:37:00Z","64541.99000000","64560.55000000","64541.99000000","64560.27000000","1.71833000"
101,"2026-06-14T02:38:00Z","64560.27000000","64560.28000000","64548.17000000","64550.11000000","3.63069000"
102,"2026-06-14T02:39:00Z","64550.10000000","64554.04000000","64536.00000000","64536.01000000","3.53633000"
103,"2026-06-14T02:40:00Z","64536.00000000","64540.13000000","64514.34000000","64529.94000000","6.33838000"
104,"2026-06-14T02:41:00Z","64529.95000000","64530.26000000","64529.94000000","64530.26000000","1.24218000"
105,"2026-06-14T02:42:00Z","64530.26000000","64530.26000000","64512.22000000","64512.78000000","7.33542000"
106,"2026-06-14T02:43:00Z","64512.78000000","64520.68000000","64510.00000000","64510.01000000","4.31528000"
107,"2026-06-14T02:44:00Z","64510.01000000","64510.01000000","64509.99000000","64510.00000000","1.42954000"
108,"2026-06-14T02:45:00Z","64510.00000000","64510.00000000","64509.99000000","64510.00000000","0.28103000"
109,"2026-06-14T02:46:00Z","64510.00000000","64510.00000000","64490.02000000","64492.97000000","4.96601000"
110,"2026-06-14T02:47:00Z","64492.97000000","64492.97000000","64476.01000000","64476.02000000","2.40252000"
111,"2026-06-14T02:48:00Z","64476.02000000","64507.99000000","64476.02000000","64507.99000000","1.00133000"
112,"2026-06-14T02:49:00Z","64508.00000000","64508.00000000","64503.98000000","64503.98000000","0.40171000"
113,"2026-06-14T02:50:00Z","64503.99000000","64507.33000000","64503.98000000","64503.99000000","1.95850000"
114,"2026-06-14T02:51:00Z","64503.98000000","64503.99000000","64493.22000000","64493.22000000","1.16697000"
115,"2026-06-14T02:52:00Z","64493.22000000","64493.23000000","64493.20000000","64493.23000000","0.15362000"
116,"2026-06-14T02:53:00Z","64493.23000000","64493.23000000","64488.42000000","64491.85000000","0.93259000"
117,"2026-06-14T02:54:00Z","64491.85000000","64491.86000000","64487.11000000","64487.11000000","3.00922000"
118,"2026-06-14T02:55:00Z","64487.11000000","64501.02000000","64487.11000000","64501.02000000","4.01235000"
119,"2026-06-14T02:56:00Z","64501.01000000","64501.02000000","64501.01000000","64501.01000000","0.08988000"
